Date                	Time                	Reading             	Alarm               	
7/6/2017            	6:15:15 PM          	60.029 °C           	                    	
7/6/2017            	6:15:25 PM          	60.030 °C           	                    	
7/6/2017            	6:15:45 PM          	60.027 °C           	                    	
7/6/2017            	6:15:55 PM          	60.025 °C           	                    	
7/6/2017            	6:16:05 PM          	60.026 °C           	                    	
7/6/2017            	6:16:18 PM          	60.027 °C           	                    	
7/6/2017            	6:16:25 PM          	60.027 °C           	                    	
7/6/2017            	6:16:35 PM          	60.026 °C           	                    	
7/6/2017            	6:16:46 PM          	60.027 °C           	                    	
7/6/2017            	6:16:58 PM          	60.027 °C           	                    	
7/6/2017            	6:17:05 PM          	60.027 °C           	                    	
7/6/2017            	6:17:15 PM          	60.025 °C           	                    	
7/6/2017            	6:17:25 PM          	60.021 °C           	                    	
7/6/2017            	6:17:38 PM          	60.025 °C           	                    	
7/6/2017            	6:17:45 PM          	60.025 °C           	                    	
7/6/2017            	6:17:55 PM          	60.029 °C           	                    	
7/6/2017            	6:18:05 PM          	60.030 °C           	                    	
7/6/2017            	6:18:19 PM          	60.027 °C           	                    	
7/6/2017            	6:18:25 PM          	60.027 °C           	                    	
7/6/2017            	6:18:35 PM          	60.027 °C           	                    	
7/6/2017            	6:18:45 PM          	60.026 °C           	                    	
7/6/2017            	6:18:59 PM          	60.026 °C           	                    	
7/6/2017            	6:19:05 PM          	60.028 °C           	                    	
7/6/2017            	6:19:15 PM          	60.029 °C           	                    	
7/6/2017            	6:19:25 PM          	60.030 °C           	                    	
7/6/2017            	6:19:39 PM          	60.030 °C           	                    	
7/6/2017            	6:19:45 PM          	60.029 °C           	                    	
7/6/2017            	6:19:55 PM          	60.031 °C           	                    	
7/6/2017            	6:20:06 PM          	60.030 °C           	                    	
7/6/2017            	6:20:15 PM          	60.029 °C           	                    	
7/6/2017            	6:20:25 PM          	60.027 °C           	                    	
7/6/2017            	6:20:35 PM          	60.028 °C           	                    	
7/6/2017            	6:20:46 PM          	60.022 °C           	                    	
7/6/2017            	6:20:55 PM          	60.022 °C           	                    	
7/6/2017            	6:21:05 PM          	60.027 °C           	                    	
7/6/2017            	6:21:15 PM          	60.026 °C           	                    	
7/6/2017            	6:21:26 PM          	60.025 °C           	                    	
7/6/2017            	6:21:35 PM          	60.024 °C           	                    	
7/6/2017            	6:21:45 PM          	60.025 °C           	                    	
7/6/2017            	6:21:55 PM          	60.027 °C           	                    	
7/6/2017            	6:22:06 PM          	60.030 °C           	                    	
7/6/2017            	6:22:15 PM          	60.033 °C           	                    	
7/6/2017            	6:22:25 PM          	60.035 °C           	                    	
7/6/2017            	6:22:35 PM          	60.032 °C           	                    	
7/6/2017            	6:22:46 PM          	60.030 °C           	                    	
7/6/2017            	6:22:55 PM          	60.032 °C           	                    	
